tanggal,judul,konten
"Februari 24, 2022",Portal Berita Daily Mirror Menyebarluaskan Informasi Bahwa Penggunaan Mainan Seks Meningkatkan Resiko Serangan Jantung Bagi Wanita,"Narasi:(Diterjemahkan dalam Bahasa Indonesia):“Kekhawatiran tumbuh karena adanya hubungan antara penggunaan mainan seks dan serangan jantung pada wanita”.=====Penjelasan:Akun Twitter @ConceptualJames (James Lindsay, wants to liberate Canada) mengunggah tangkapan layar dari portal berita Daily Mirror yang menginformasikan adanya hubungan antara penggunaan mainan seks dengan serangan jantung bagi wanita. Berdasarkan unggahan @ConceptualJames, berita tersebut ditulis pada 26 Januari 2022.Cuitan tersebut telah dibagikan ulang sebanyak lebih dari 700 kali dan telah disukai oleh 3,000 orang. Selain itu, terdapat ratusan pengguna Twitter yang memberikan komentar."
"Februari 24, 2022",KFC Menulis Cuitan Dengan Gambar Ayam Goreng dan Tagar #BlackHistoryMonth,"=====Narasi:(Diterjemahkan dalam Bahasa Indonesia):“Saya mendengarmu, saya melihatmu dan saya berdiri bersamamu #BlackHistoryMonth”=====Penjelasan:Akun Twitter @MightyKeef (Mightykeef) mengunggah tangkapan layar dari akun Twitter resmi KFC Trinidad dan Tobago, di mana akun tersebut memposting gambar ayam goreng diikuti gambar bayangan tangan sebagai simbol solidaritas komunitas kulit hitam yang identik dengan gerakan Black Lives Matter. Gambar tersebut juga disertai keterangan “I hear you, I see you and I stand with you #BlackHistoryMonth”.Cuitan tersebut telah dibagikan ulang sebanyak lebih dari 2,500 kali dan telah disukai oleh 289,300 orang. Selain itu, terdapat ratusan pengguna Twitter yang memberikan komentar.Berdasarkan hasil penelurusan, keterangan pada gambar yang diunggah akun KFC tersebut telah diubah dan bukan merupakan keterangan pada foto yang asli. Gambar ayam goreng dan bayangan tangan memang asli, dan KFC mendapatkan kecaman publik yang keras pada Agustus 2020 lalu karena dianggap “rasis” dan “insensitif”, namun keterangan asli pada foto tersebut berbunyi “Happy Emancipation Day” dan KFC tidak menyertakan tagar #BlackHistoryMonth.Selain itu, KFC Trinidad & Tobago melalui Instagram resminya, @kfc.tt, telah memberikan permintaan maaf dengan merujuk pada “Emancipation Day Posts” pada 2 Agustus 2020 lalu."
"Februari 24, 2022",Video Kapal Bergoyang Saat Badai Eunice,"====Narasi:“#StormEunice #StormEunice Nae bother@GeorgeCochrane1”====Penjelasan:Akun Twitter MotorVehicleMoversTM (@mvmoxford) mengunggah cuitan video sebuah kapal bergoyang yang diklaimnya terjadi saat Badai Eunice. Cuitan yang diunggah pada 17 Februari 2022 telah ditonton sebanyak 3,4 juta kali serta mendapat atensi berupa 13 ribu suka dan 3.363 retweet.Berdasarkan hasil penelusuran, video tersebut bukan direkam saat Badai Eunice. Mengutip dari Metro, kapal feri yang bergoyang itu mencoba berlabuh ke Pelabuhan Ardrossan, Skotlandia saat Badai Dennis terjadi pada 15 Februari 2020. Akun Twitter The Daily Record (@Daily_Record) juga menginformasikan kabar yang sama pada 15 Februari 2020 dengan video dan narasi sebagai berikut.“🎥 CalMac ferry MV Caledonian Isles rocking violently in Ardrossan harbour as Storm Dennis hits Scotland. Credit: Stuart Bell 🌊😲🤢 #ardrossan #arran #stormdennis # weatherwarning #scotland #calmac 🎥”Sebagai tambahan, mengutip dari BBC, The Met Officer membuat daftar nama badai dari A sampai Z yang berlangsung dari awal September hingga akhir Agustus tahun depan. Nama diberikan ketika badai diperkirakan akan menyebabkan dampak sedang atau tinggi, atau dalam cuaca dikatakan berpotensi menyebabkan peringatan kuning atau merah. Badai Eunice dengan peringatan cuaca merah (peringatan terkuat) diperkirakan dapat membawa gangguan besar pada perjalanan dan pasokan energi."
"Februari 24, 2022",Menggunakan Obat Bius setelah Vaksin Covid 19 sebabkan Kematian,
"Februari 24, 2022","Jangan Panik, Seseorang yang Terinfeksi Covid-19 Varian Omicron Dapat Sembuh Setelah Mengonsumsi Paracetamol 500 mg, Vitamin C 1000 mg, dan Vitamin D3 1000 IU","Narasi:“Jangan panik ya kalau terinfeksi omicron.Obatnya Cuma :Paracetamol 500 mg.. 3 x sehari 1 tabVit C 1000 mg sehari 1 x 1 tabVit D3 1000 IU sehari 1 x 1 tabSembuh sendiri dalam 5 – 6 hariSimpan catatan siapa tahu nanti butuh”.Penjelasan:Beberapa waktu lalu sempat beredar informasi terkait beberapa obat medis yang bisa digunakan untuk mengobati seseorang yang telah terinfeksi virus Covid-19 varian Omicron, di antaranya ialah Paracetamol 500 mg, Vitamin C 1000 mg, dan Vitamin D3 1000 IU dengan klaim bahwa ketika seseorang yang telah terinfeksi Omicron lalu mengonsumsi jenis obat tersebut maka akan sembuh dalam jangka waktu 5-6 hari.Namun melansir dari liputan6.com, Dokter Spesialis Penyakit Dalam, dr R.A Adaninggar, mengatakan bahwa Paracetamol hingga Vitamin D3 1000 IU bukanlah obat penyembuh Covid-19 varian Omicron. Ia menyatakan bahwa yang dapat menyembuhkan pasien dari Covid-19 adalah sistem imun yang baik dari setiap orang. Sedangkan Paracetamol serta Vitamin hanya bersifat sebagai penunjang saja, bukan sebagai obat penyembuh."
"Februari 23, 2022",“France arrests a Malian child and urinates on him in public”,"More: turnbackhoax.id | #LawanHoax #CekFaktanya #TurnBackHoax #FactCheck #DigitalLiteracy #MAFINDO #FYPThe SOURCE shared a video of an art performance titled “Piedra” by Regina Jose Galindo with false contextual information, which has caused FALSE conclusion.Video VerificationRelated to “Piedra” art performance, josé galindo’s website: “My body remains immobile, covered in coal, like a stone. Two volunteers and someone from the audience urinate on my stone body.” [2]Other Related ReferencesHemispheric Institute of Performance and Politics: “Piedra (2013) began on a cool afternoon this past January at the Hemispheric Institute’s 8th Annual Encuentro in São Paulo, Brazil. Audience members broke out their cameras and recording devices and eagerly awaited Galindo’s next action or gesture. The unmoving body fused with the lush natural landscape while we continued waiting and documenting. At the ten minute mark, a male-bodied member of this amorphous throng that encircled the artist stepped into the center and strutted towards the body. Then, he unzipped his pants, pulled out his penis, and began to urinate on the stone-like lump of a woman.” [3]GUGGENHEIM: “Stone (Piedra), 2013” [4]regina josé galindo: “Regina José Galindo (1974) is a visual artist and poet, whose main medium is performance. Galindo lives and works in Guatemala, using its own context as a starting point to explore and accuse the ethical implication of social violence and injustices related to gender and racial discrimination, as well as human rights abuses arising form the endemic inequalities in power relations of contemporary societies. Galindo is, in Loris Romano words, “an artist who pushes herself beyond her own limits, trough performances which are radical, unsettling and ethically discomfiting”.” [5]"
"Februari 23, 2022",Tiktok Ivan Gunawan Bagi-Bagi Hadiah 30 Juta + Motor,
"Februari 23, 2022","Dr. Gupta mengatakan “Tidak seorang pun boleh mati karena kanker, kecuali karena pengabaian”","Dilansir dari kompas.com klaim bahwa gula memberi makanan bagi sel kanker memang benar dalam arti sempit – dan mungkin tampak menakutkan. Namun tentu saja, hal ini tidak sepenuhnya benar. Kenyataannya adalah bahwa selain bagi sel kanker, gula juga memberi makanan bagi sebagian besar sel dalam tubuh yang sangat penting untuk aktivitas sehari-hari kita.“Menghentikan gula agar jangan sampai ke sel kanker juga berarti sel sehat tubuh Anda akan kekurangan gula yang diperlukan,” kata CEO Cancer Council Australia, Profesor Sanchia Aranda.Selain itu, Lemon (dengan kulitnya) memang terbukti memiliki manfaat untuk kesehatan tertentu dan juga ada beberapa studi terbatas menyarankan lemon memiliki sifat anti kanker, tetapi klaim yang mengatakan bahwa lemon sangat efektif membunuh sel kanker adalah tidak tepat.Dilansir dari hoaxes.id beberapa penelitian menunjukan bahwa lemon dan buah jeruk lainnya mengandung zat alami yang kemungkinan memiliki sifat melawan kanker, namun penelitian itu belum diuji pada manusia. Beberapa studi telah menguji lebih dalam pada sifat anti-karsiogenik dengan Modified Citrus Pectin (MCP) dan Limonoid yang menemukan beberapa hasil yang cukup menjajanjikan.Menurut dokter spesialis penyakit dalam, dr Andhika Rahman SpPD, lemon yang memiliki kandungan vitamin E dan vitamin C serta antioksidan memang dipercaya sebagai antikanker. Namun kandungan vitamin yang dimiliki lemon sebenarnya dimiliki beberapa buah-buahan lainya."
"Februari 23, 2022","Video “pihak PLN korupsi, boros, harap perhatikan ini isi token 50.000 yang masuk cuma 3.600”","Berdasarkan hasil penelusuran, klaim bahwa pengisian token listrik prabayar PLN 50.000 hanya mendapatkan 3.600 merupakan klaim yang menyesatkan.Faktanya, tidak seperti membeli pulsa telepon selular, pengisian token listrik prabayar PLN dikonversikan ke dalam kilowatt hour (kWh) sesuai tarif listrik yang berlaku, bukan dalam nominal rupiah."
"Februari 23, 2022",Foto “suami istri tewas gantung diri di Jembatan Sungai Kalundang”,
"Februari 23, 2022",Video “berkat pendekatan Jokowi Rusia akhirnya menarik pasukannya dari perbatasan Ukraina.”,"= = = = =NARASI:“Dunia Butuh Indonesiaberkat pendekatan Jokowi Rusia akhirnya menarik pasukannya dari perbatasan Ukraina.”= = = = =PENJELASAN:Akun TikTok dengan nama pengguna “guntur.surabaya” mengunggah sebuah video yang menunjukkan pertemuan antara Presiden Jokowi dengan Presiden Vladimir Putin. Unggahan tersebut juga disertai dengan narasi yang menyatakan bahwa video tersebut merupakan video Jokowi yang melakukan pendekatan ke Rusia agar bersedia menarik pasukannya dari perbatasan Ukraina.Berdasarkan hasil penelusuran, video tersebut merupakan gabungan dari video kunjungan Jokowi ke Sochi, Rusia, pada tahun 2016 lalu dan video kedatangan Jokowi di acara KTT G20 di Italia pada tahun 2021. Video kunjungan Jokowi ke Sochi pertama kali diunggah oleh kanal YouTube “Kementerian Sekretariat Negara RI” pada 19 Mei 2016. Sedangkan, video kehadiran Jokowi di KTT G20 juga telah diunggah oleh kanal YouTube “KOMPASTV” pada 30 Oktober 2021.Lebih lanjut, hingga saat ini Putin belum menarik pasukannya dari Ukraina. Melansir dari BBC Indonesia, kondisi terbaru konflik Rusia dan Ukraina adalah Putin memerintahkan pasukannya untuk memasuki wilayah Donetsk dan Luhansk yang terletak di bagian timur Ukraina.Dengan demikian, narasi yang diunggah oleh akun TikTok dengan nama pengguna “guntur.surabaya” tersebut dapat dikategorikan sebagai Konten yang Menyesatkan/Misleading Content."
"Februari 23, 2022",Grup Telegram “BADAN KOORDINASI PENANAMAN MODAL”,"====Narasi:“Program Yang Kami Laksanakan ini, untuk dapat Meningkatkan Perekonomian Masyarakat yang belum mengerti tentang PASAR SAHAM DUNIA,. KAMI PROFIT ANDA UNTUNG, MODAL ANDAPUN JELAS AMAN ✅AYO SEGERA JOINADMIN:👇🏻👇🏻@Cs_BUDY_FRENSIDY”====Penjelasan:Telah beredar grup Telegram “BADAN KOORDINASI PENANAMAN MODAL” dengan 2.166 anggota. Grup tersebut mengklaim memiliki program yang dapat meningkatkan perekonomian masyarakat yang belum memahami informasi seputar saham dan menjanjikan adanya profit.Berdasarkan hasil penelusuran, grup Telegram tersebut bukanlah grup resmi milik BKPM. Melalui utas akun Twitter resmi Kementerian Investasi – BKPM pada 8 Mei 2021, pihaknya mengonfirmasi tidak pernah memiliki grup Telegram/WhatsApp terkait pengelolaan dana investasi dan tidak pernah membuka jasa investasi dengan profit yang tidak masuk akal. BKPM juga meminta masyarakat untuk berhati-hati dengan oknum yang mengatasnamakan Kementerian Investasi/BKPM."
"Februari 23, 2022",Video Warga Kanada Menghancurkan Kamp Karantina di luar Kota Ottawa,"====Narasi:“Canadian’s destroy quarantine camp. Allegedly 1hr outside of Ottawa.”====Penjelasan:Akun Twitter Patriot 1776 (@Patriot13777123) mengunggah cuitan berupa video warga Kanada menghancurkan kamp karantina di daerah luar Ottawa. Cuitan yang diunggah pada 30 Januari 2022 mendapat atensi berupa 814 retweet dan 1.704 suka.Berdasarkan hasil penelusuran, video cuitan itu adalah video sampah berserakan di area konstruksi kamp karantina Covid di kota Anyang, provinsi Henan, China. Video tersebut pernah diunggah oleh akun Twitter Songpinganq (@songpinganq) pada 27 Januari 2022 dengan narasi sebagai berikut.“Henan province anyang cityThese garbage on the ground are outer packages of construction materials.In 10 days this covid quarantine camp should complete its construction.2022/1/22”Sebagai tambahan, CGTN melaporkan kota Anyang membangun fasilitas karantina sebagai langkah untuk mencegah penyebaran virus COVID-19. Tercatat terdapat 433 kasus varian Omicron di kota tersebut per 8 Januari 2022. Pembangunan kamp yang dimulai pada 16 Januari 2022 dan diprediksi akan selesai dalam lima hari itu menyediakan lebih dari 3000 kamar yang akan siap menampung warga dengan kontak dekat dari kasus yang dikonfirmasi COVID-19 di kota."
"Februari 23, 2022",Gambar Artikel CNN Indonesia Memperlihatkan Seseorang Memegang “KITAB belajar MENIPU”,
"Februari 23, 2022",Video Jokowi Mengatakan Berminat Menjadi Presiden 3 Periode,"NARASI:“lanjut 3 periode pak Jokowi, kami siap mengawal,”audio dalam video“saya tegaskan saya berminat menjadi presiden 3 periode”= = = = =PENJELASAN:Akun Tiktok s.ha.11 memposting sebuah video berdurasi 15 detik yang memperlihatkan Jokowi mengatakan bahwa Jokowi berminat menjadi Presiden 3 periode."
"Februari 23, 2022",Pemerintahan Joe Biden Memberikan 30 Juta Dollar Untuk Pipa Kokain kepada Komunitas Kulit Hitam di Amerika Serikat,"Narasi:(Diterjemahkan dalam Bahasa Indonesia):“Pemerintahan Biden berencana menyediakan 30 juta dollar untuk pipa kokain kepada komunitas kulit hitam. Hal tersebut merupakan metafora yang tepat untuk hubungan antara warga kulit hitam kelas bawah dan Partai Demokrat”.=====Penjelasan:Akun Twitter @DineshDSouza (Dinesh D’Souza) menyebarluaskan informasi bahwa pemerintahan Joe Bidan menyumbangkan 30 juta dollar AS untuk pipa kokain kepada komunitas kulit hitam kelas bawah di Amerika Serikat. Cuitan tersebut telah dibagikan ulang sebanyak lebih dari 2,500 kali dan telah disukai oleh 9,140 orang. Selain itu, terdapat banyak pengguna Twitter lain yang memberikan komentar.Klaim tersebut berawal dari artikel yang diunggah oleh The Washington Free Beacon pada 7 Februari dengan judul “Biden Admin to Fund Crack Pipe Distribution to Advance ‘Racial Equity’”. Judul dari artikel ini yang kemudian memunculkan banyak informasi serupa beredar di internet.Berdasarkan hasil penelusuran, 30 juta dollar AS yang diberikan oleh pemerintahan Biden bukan secara spesifik untuk mendanai pipa kokain kepada komunitas kulit hitam, melainkan untuk program “Harm Reduction” yang merupakan program dari Kementerian Kesehatan dan Pelayanan Masyarakat AS.Dana 30 juta dollar AS yang disumbangkan akan digunakan secara spesifik untuk beberapa program pencegahan seperti memberikan pendidikan kesehatan, konseling, dan pengobatan bagi individu yang terkena penyakit menular seperti HIV, penyakit seksual menular dan hepatitis. Program ini mulai dijalankan pada 7 Februari 2022, dan akan di implementasikan selama periode tiga tahun.Terlebih lagi, pembicara resmi dari Kementerian Kesehatan dan Pelayanan Masyarakat, Sarah Lovenheim, memberikan pernyataan kepada USA Today melalui email bahwa persediaan jarum suntik steril dan peralatan merokok yang aman memang bagian dari program. Namun, pipa kokain tidak termasuk di dalamnya.Pernyataan Sarah Lovenheim tertulis sebagai berikut:“The Biden-Harris administration has never authorized the use of federal funding for smoking pipes and will not in the future.”Informasi serupa juga pernah dibahas oleh Politi Fact dengan judul “The Biden administration ‘is spending $30 million on crack pipes.’” dan mengkategorikannya sebagai Mostly False."
"Februari 23, 2022",Anies Resmi Ditahan KPK,"https://archive.vn/PkRn0=====NARASI:VIRAL~Dokumen Rahasia Diserahkan Bikin Anies Tak Berkutik, KPK Edy PrasetyoKABAR MENGEJUTKAN. .!!ANIES RESMI DITAHAN KPKEDY PRASETYO SERAHKAN DOKUMEN 2 PENTING ISI NYA MENGEJUTKAN=====PENJELASAN:Beredar postingan di Facebook oleh akun bernama Youtube Channel, yang memposting sebuah link video dengan thumbnail “Anies Resmi Ditahan KPK”.Setelah ditelusuri lebih lanjut, link aslinya mengarah pada sebuah channel YouTube bernama DUNIA BERITA. Namun, thumbnail dalam video sepertinya sudah diedit dengan menghilangkan kata “Anies”, meski begitu thumbnail video tetap tidak berkaitan dengan isi videonya.Dalam video yang berdurasi 10 menit 3 detik, memberitakan mengenai Ketua DPRD DKI Jakarta Prasetyo Edi Marsudi yang dipanggil KPK atas kasus dugaan korupsi event Formula E. Edi dipanggil ke gedung KPK dengan membawa sejumlah dokumen, di gedung KPK ia dimintai keterangan bersama dengan sejumlah politikus lainnya."
"Februari 22, 2022",Video Tanggul Kali Pemali Brebes Jebol pada 13 Februari 2022,====Narasi: “kali pemali jebol desa terlangu”====Penjelasan:Akun Facebook Warsim Acim mengunggah sebuah video dengan dengan narasi tanggul kali pemali Desa Terlangu jebol pada 13 Februari 2022. Video berdurasi 30 detik menggambarkan seorang warga yang bercerita terkait kondisi akibat tanggul yang jebol.
"Februari 22, 2022",Akun Whatsapp Wakil Wali Kota Denpasar Kadek Agus Arya Wibawa “+6282143125934”,
"Februari 22, 2022",Lowongan Dinas Pendidikan Kota Bogor,"Narasi:“lya mbk untuk pembuatan surat Formalitas ini ada biaya sementara 50 rb dan nanti akan ada kwitansi dan tanda pembayarannya yang akan diberikan kepada pembuat. Untuk biayanya bisa di tf kan ke layanan penerimaan Data Kemendikbud agar bisa segera di proses, *Jika dalam perekrutan tersebuat pelamar tidak diterima maka otomatis uang akan dikembalikan lagi dengan menyertakan foto bukti transfernya untuk dilakukan pengembalian dana, dan biayanya mbk tf kan sebelum jam 5 ini. Dan jika sudah jadi mohon untuk digunakan sebagaimana mestinya Karena meski tidak diterima akan tetapi surat formalitas dapat digunakan untuk kepentingan lainnya.Rek Bank BCA : 0111801923 A/n Pak jeremia uus windra KemendikbudDalam Proses Rekruitmen ini tidak ada biaya masuk sama sekali, Kecuali Biaya Sementara surat Formalitas Pendidikan, Tapi jika nanti tidak di terima, Maka Biaya Surat ini akan dikembalikan sesuai nominal dengan mengklaim ke kantor langsungTerima KasihMohon Konfirmasi untuk setuju atau tidaknya, Karena nanti akan dibuatkan kwitansi dan Soft File nya, Soalnya nanti setelah interview akan ada kemungkinan langsung Bekerja soalnya penerimaan karyawan baru yang di minta paling lambat tgl 5 Februari untuk di daftarkan sebagai pegawai tetap dan mohon konfirmasi tf nya karena nanti setelah di tf akan di terima kode OTP yang dikirim ke WA untuk”"
"Februari 22, 2022",Akun Instagram PT Dua Kelinci Karir ‘@karir.duakelinci’,
"Februari 22, 2022",Gambar Desa Terbengkalai di Skotlandia,"Terjemahan:Desa terbengkalai di Skotlandia”===PENJELASAN:Akun Facebook “Abandoned places” membagikan sebuah gambar dengan narasi bertuliskan desa terbengkalai di Skotlandia. Postingan tersebut mendapatkan 1.9 ribu suka, 1 ribu komentar dan 1.1 ribu kali dibagikan."
"Februari 22, 2022",Akun Whatsapp Kadis Lingkungan Hidup Tangerang Tihar Sophian “+6281212351036”,Pihak Dinas Lingkungan Hidup Kota Tangerang mengklarifikasi bahwa akun Whatsapp yang beredar bukan milik Kadis LH Tangerang Tihar Sophian.
"Februari 22, 2022",Akun WhatsApp Sekretaris Daerah Kabupaten Buleleng Gede Suyasa “085834465848”,
"Februari 22, 2022",Akun Whatsapp “+6283108819771” dan Facebook Wakil Wali Kota Malang “Sofyan Edi Jarwoko”,
"Februari 22, 2022", Bantuan Minyak Goreng Gratis di Tiap Desa Pada 29 Hingga 31 Februari 2022,"“Pemberitahuan kepada seluruh warga indonesia. Akhir bulan ini akan ada bantuan minyak goreng gratis di tiap desa/kelurahan.Masing2 per KK akan dpt 5 bungkus minyak goreng kemasan 1L.Jangan ketinggalan, kunjungi balai desa masing2 pada tanggal 29-31 Februari 2022.Ingat yah hanya untuk 3 hari saja.Yang gak kebagian bisa beli di sini harga paling murahhttps://shp.ee/tg8r3bxCanda yah jngn di anggap serius“======[PENJELASAN]:"
"Februari 21, 2022",“Prancis menangkap seorang anak Mali dan mengencinginya di depan umum”,"SUMBER membagikan video pertunjukan “Piedra” oleh seniman Regina Jose Galindo di Brazil pada tahun 2013 dengan menambahkan narasi yang TIDAK sesuai dengan fakta, sehingga membangun kesimpulan KELIRU.Verifikasi VideoBerkaitan dengan pertunjukan “Piedra”, situs regina josé galindo: “Tubuhku tetap tidak bergerak, tertutup batu bara, seperti batu. Dua relawan dan seseorang dari penonton kencing di tubuh batu saya.” [2]Referensi Lainnya yang BerkaitanHemispheric Institute of Performance and Politics: “Piedra (2013) dimulai pada sore yang sejuk Januari lalu di Encuentro Tahunan ke-8 Hemispheric Institute di São Paulo, Brasil . Penonton mengeluarkan kamera dan alat perekam mereka dan menantikan aksi atau gestur Galindo selanjutnya. Tubuh yang tak bergerak menyatu dengan pemandangan alam yang rimbun sementara kami terus menunggu dan mendokumentasikan. Pada tanda sepuluh menit, seorang anggota bertubuh laki-laki dari kerumunan amorf yang mengelilingi artis ini melangkah ke tengah dan berjalan ke arah tubuh. Kemudian, dia membuka ritsleting celananya, mengeluarkan penisnya, dan mulai buang air kecil di atas benjolan seperti batu seorang wanita.” [3]GUGGENHEIM: “Batu (Piedra), 2013” [4]regina josé galindo: “Regina José Galindo (1974) adalah seniman visual dan penyair, yang media utamanya adalah pertunjukan. Galindo tinggal dan bekerja di Guatemala, menggunakan konteksnya sendiri sebagai titik awal untuk mengeksplorasi dan menuduh implikasi etis dari kekerasan sosial dan ketidakadilan terkait dengan diskriminasi gender dan ras, serta pelanggaran hak asasi manusia yang muncul dari ketimpangan endemik dalam hubungan kekuasaan kontemporer. masyarakat. Galindo adalah, dalam kata-kata Loris Romano, “seorang seniman yang mendorong dirinya melampaui batasnya sendiri, melalui pertunjukan yang radikal, meresahkan dan secara etis tidak nyaman”.” [5]"
"Februari 20, 2022",Video Pasien Meninggal 15 Menit setelah Divaksin,"= = = = =NARASI:(diterjemahkan ke dalam Bahasa Indonesia)“Meninggal di pusat vaksinasi, 15 menit setelah divaksin”= = = = =PENJELASAN:Akun Twitter dengan nama pengguna “mRNA_Death_Toll” mengunggah sebuah video yang menunjukkan sekelompok petugas medis yang tengah memberikan pertolongan pertama pada seorang pasien di pusat vaksinasi. Video tersebut juga disertai dengan narasi yang menyatakan bahwa pasien dalam video tersebut meninggal 15 menit setelah divaksin.Melansir dari media Italia L’Eco di Bergamo, pasien dalam video tersebut tidak meninggal, melainkan tidak sadarkan diri yang disebabkan oleh penyakit patologi yang telah dideritanya sejak sebelum mendapatkan vaksin. Adapun yang termasuk penyakit patologi di antaranya adalah kanker, tumor, gangguan autoimun, serta penyakit ginjal dan hati."
"Februari 20, 2022",Burung Elang Mampu Hidup Hingga 70 Tahun,"Narasi:“Perjuangan “Sang Elang&quot: Melakukan PerubahanSemua kita tahu burung elang mungkin ada juga yang menganggap burung elang adalah burung garuda.Elang memiliki umur terpanjang di spesiesnya, dia bisa hidup sampai 70 tahun!. Namun untuk mencapai ini, dia harus mengambil keputusan sulit dan sangat menyakitkan!.Di usia 40 tahun :Cakarnya yang panjang dan flesksibel tak lagi tajam, yang menyulitkan menangkap mangsa.Paruhnya yang tajam telah bengkok.Bulu-bulunya tua, tebal dan berat memenuhi dada yang menyulitkannya terbang.[Narasi dilanjutkan setelah bagian referensi]Penjelasan:Beberapa waktu lalu sempat beredar sebuah informasi yang menjelaskan bahwa seekor burung elang mampu hidup selama 70 tahun setelah melakukan proses perubahan yang berlangsung selama 150 hari (5 bulan) dengan cara mengetuk paruhnya ke batu sampai terlepas dan setelah itu burung elang harus menunggu paruh baru tumbuh kembali. Lalu setelah itu burung elang juga akan mencabut cakar-cakarnya. Dan ketika cakar burung elang telah tumbuh kembali, burung elang juga mulai mencabut bulu-bulu tuanya. Setelah semua itu telah dilakukan, maka burung elang mampu untuk terbang dan hidup kembali selama 30 tahun kedepan.Namun melansir dari factcheck.afp.com, US Geological Survey menyatakan bahwa umur terpanjang yang tercatat untuk elang botak Amerika Serikat di alam liar ialah 38 tahun dan untuk elang emas, yang terlama ialah 31 tahun delapan bulan. Lalu, nonprofit Teton Raptor Center juga menyatakan bahwa elang botak dapat hidup hingga lebih dari 30 tahun di alam liar dan mencapai umur 50 tahun apabila tinggal di penangkaran.Selain itu, terkait dengan proses perubahan elang dengan mengalami pertumbuhan paruh, cakar, dan bulu yang baru ialah sebuah informasi yang salah. Melansir dari www.snopes.com, elang tidak akan bisa kehilangan paruh dan cakar mereka kecuali apabila elang mengalami cedera traumatis. Todd Katzner, ahli biologi satwa liar dengan USGS yang telah mempelajari elang selama 25 tahun juga menyatakan bahwa Burung sama sekali tidak dapat menumbuhkan kembali seluruh paruhnya, dan cakar elang juga terdiri dari inti tulang dengan selubung keratin, sehingga jika burung kehilangan inti tulang, maka keratin tidak akan tumbuh kembali. Apabila elang kehilangan cakar dan paruh dalam jangka waktu yang lama, pasti hal tersebut akan menyulitkan elang untuk dapat bertahan hidup. Sebagaimana pendapat Lori Arent , asisten direktur Raptor Center di University of Minnesota yang menyatakan bahwa tanpa cakar dan paruh, elang tidak mampu bertahan hidup.Burung elang juga tidak akan mencabut bulu-bulunya kecuali bulu-bulunya tersebut meranggas. Kualitas bulu elang memang semakin lama akan semakin menurun, namun setiap bulu burung berasal dari folikel bulu seperti halnya rambut pada mamalia. Pertama kali bulu muncul dan berkembang, bulu memiliki suplai darah yang berasal dari tubuh naik ke batang bulu. Jika bulu ini patah atau dicabut, maka tidak hanya rasa sakit yang akan dirasakan oleh burung, tetapi dapat pula menyebabkan kehilangan darah dan kerusakan pada folikel bulu. Kerusakan parah pada folikel bulu juga dapat menyebabkan hilangnya folikel secara permanen, dan dibutuhkan juga waktu hingga satu tahun untuk mengganti bulu burung yang hilang sebelum bulu tersebut meranggas.Berdasarkan pada seluruh referensi, burung elang mampu hidup hingga 70 tahun ialah informasi salah dan masuk ke dalam kategori konten yang menyesatkan.Referensi:https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9V74Y9https://www.snopes.com/fact-check/rebirth-of-the-eagle/[Lanjutan narasi]Hanya ada 2 pilihan yang bisa dia ambil :bertahan seperti itu lalu MATI, ataumelewati PROSES PERUBAHAN yang menyakitkan untuk dapat terus hidup!Untuk melakukan perubahan itu, ia harus terbang tinggi ke puncak gunung di sarangnya. Lalu mematuk-matukkan paruhnya ke batu sampai lepas, dan menunggu paruhnya tumbuh kembali.Setelah paruh baru-nya tumbuh, dia akan menacabuti cakar-cakar tuanya, dan menunggu cakarnya tumbuh kembali.Setelah cakar baru-nya tumbuh, dia akan mencabuti bulu-bulu tua-nya sendiri, dan menunggunya sampai tumbuh bulu-bulu baru.PROSES PERUBAHAN INI MEMERLUKAN WAKTU 150 HARI atau sekitar 5 BULAN!Setelah berhasil melewati proses perubahan yang menyakitkan itu, ia akan mendapatkan kesempatan hidup 30 tahun lagi.“Untuk bertahan hidup ke arah yang lebih baik kita pun harus memulai perubahan, namun bersyukur kita tidak perlu melewati proses menyakitkan seperti elang.”Untuk bertahan hidup dan melalui perjalanan baru dimasa mendatang, kita harus berubah.PERUBAHAN yang pertama kali perlu kita lakukan adalah perbaikan MINDSER!Terkadang kita harus membuang ingatan, kebiasaan dan tradisi lama yang melemahkan.Hanya dengan terbatas dari beban masa lalu, kita dapat mengambil manfaat dari saat ini."
"Februari 20, 2022",Bencana Alam Tanah Longsor di Wilayah Lebakbarang Menimbulkan 5 Korban Jiwa,Narasi:“korban longsor di lebangbarangPak (nama seseorang) lagi dibantu ga ibu mau beri santunan untk 5 org tsb dan msing2 dibantu 2.5 jt untk lain2 nya saya cari tambhn sendiri”.===
